Date,Month,Highest Temp (C°),Lowest Temp (C°),Average Temp (C°),Total Yield [kWh]
05/20/2022,May,33,27,30,"1,190.92"
05/21/2022,May,31,26,28.5,"1,071.79"
05/22/2022,May,33,26,29.5,"1,508.23"
05/23/2022,May,34,28,31,"1,673.25"
05/24/2022,May,34,28,31,"1,113.04"
05/25/2022,May,33,26,29.5,946.58
05/26/2022,May,35,25,30,"1,336.05"
05/27/2022,May,34,27,30.5,"1,154.18"
05/28/2022,May,34,27,30.5,"1,009.59"
05/29/2022,May,34,28,31,864.34
05/30/2022,May,32,26,29,"1,075.08"
05/31/2022,May,34,27,30.5,951.09
06/01/2022,June,32,28,30,"1,229.73"
06/02/2022,June,33,26,29.5,966.89
06/03/2022,June,32,26,29,"1,183.95"
06/04/2022,June,31,28,29.5,773.91
06/05/2022,June,34,27,30.5,"1,318.10"
06/06/2022,June,34,29,31.5,"1,197.61"
06/07/2022,June,34,28,31,937.67
06/08/2022,June,34,29,31.5,"1,166.30"
06/09/2022,June,33,25,29,369.17
06/10/2022,June,33,26,29.5,"1,241.73"
06/11/2022,June,33,29,31,"1,218.06"
06/12/2022,June,34,29,31.5,961.26
06/13/2022,June,34,30,32,852.24
06/14/2022,June,34,28,31,"1,011.59"
06/15/2022,June,33,27,30,909.78
06/16/2022,June,32,28,30,734.52
06/17/2022,June,29,24,26.5,134.9
06/18/2022,June,29,24,26.5,583.77
06/19/2022,June,32,27,29.5,594.47
06/20/2022,June,32,27,29.5,724.17
06/21/2022,June,30,27,28.5,986.65
06/22/2022,June,32,27,29.5,"1,206.37"
06/23/2022,June,32,28,30,829.94
06/24/2022,June,35,28,31.5,"1,137.29"
06/25/2022,June,34,27,30.5,"1,312.14"
06/26/2022,June,33,28,30.5,"1,412.49"
06/27/2022,June,34,29,31.5,"1,342.56"
06/28/2022,June,33,29,31,"1,341.37"
06/29/2022,June,33,28,30.5,609.17
06/30/2022,June,29,27,28,321.47
07/01/2022,July,32,28,30,"1,206.88"
07/02/2022,July,34,28,31,"1,407.41"
07/03/2022,July,34,28,31,"1,284.24"
07/04/2022,July,34,28,31,"1,114.02"
07/05/2022,July,34,28,31,"1,141.46"
07/06/2022,July,33,26,29.5,924.41
07/07/2022,July,33,28,30.5,"1,310.90"
07/08/2022,July,33,29,31,
07/09/2022,July,35,28,31.5,68.31
07/10/2022,July,34,28,31,"1,206.88"
07/11/2022,July,34,29,31.5,"1,407.41"
07/12/2022,July,35,28,31.5,"1,284.24"
07/13/2022,July,35,28,31.5,"1,114.02"
07/14/2022,July,35,29,32,"1,141.46"
07/15/2022,July,34,29,31.5,924.41
07/16/2022,July,34,29,31.5,"2,115.17"
07/17/2022,July,34,29,31.5,"1,495.10"
07/18/2022,July,34,29,31.5,"1,019.97"
07/19/2022,July,33,29,31,"1,411.05"
07/20/2022,July,31,28,29.5,688.32
07/21/2022,July,33,28,30.5,"1,503.25"
07/22/2022,July,35,28,31.5,"1,445.44"
07/23/2022,July,34,29,31.5,"1,284.90"
07/24/2022,July,31,27,29,565.85
07/25/2022,July,31,27,29,884.33
07/26/2022,July,31,27,29,637.55
07/27/2022,July,33,28,30.5,"1,089.72"
07/28/2022,July,34,28,31,930.53
07/29/2022,July,34,28,31,"1,048.99"
07/30/2022,July,33,28,30.5,"1,022.13"
07/31/2022,July,32,28,30,13.41
08/01/2022,August,32,27,29.5,777.77
08/02/2022,August,31,27,29,579.72
08/03/2022,August,34,28,31,"1,177.63"
08/04/2022,August,32,27,29.5,"1,396.42"
08/05/2022,August,35,29,32,"1,515.17"
08/06/2022,August,34,27,30.5,"1,175.44"
08/07/2022,August,35,28,31.5,"1,621.66"
08/08/2022,August,34,28,31,"1,365.92"
08/09/2022,August,33,27,30,"1,540.00"
08/10/2022,August,31,27,29,"1,146.17"
08/11/2022,August,33,27,30,"1,255.86"
08/12/2022,August,34,27,30.5,"1,512.13"
08/13/2022,August,34,27,30.5,"1,042.98"
08/14/2022,August,29,27,28,808.78
08/15/2022,August,34,27,30.5,"1,461.14"
08/16/2022,August,34,28,31,"1,507.29"
08/17/2022,August,33,29,31,"1,319.91"
08/18/2022,August,36,29,32.5,"1,515.05"
08/19/2022,August,33,27,30,"1,281.28"
08/20/2022,August,32,27,29.5,"1,582.14"
08/21/2022,August,34,28,31,"1,575.55"
08/22/2022,August,34,30,32,"1,308.64"
08/23/2022,August,35,27,31,"1,067.01"
08/24/2022,August,33,27,30,"1,290.54"
08/25/2022,August,32,27,29.5,"1,147.93"
08/26/2022,August,35,28,31.5,"1,530.56"
08/27/2022,August,33,30,31.5,957.45
08/28/2022,August,32,28,30,"1,063.28"
08/29/2022,August,34,27,30.5,"1,445.47"
08/30/2022,August,35,29,32,"1,485.54"
08/31/2022,August,34,28,31,"1,529.00"
09/01/2022,September,35,29,32,
09/02/2022,September,34,26,30,
09/03/2022,September,32,25,28.5,281.88
09/04/2022,September,31,27,29,312.01
09/05/2022,September,33,28,30.5,60.77
09/06/2022,September,29,27,28,757.6
09/07/2022,September,35,28,31.5,"1,466.66"
09/08/2022,September,33,27,30,697.43
09/09/2022,September,35,28,31.5,"1,502.87"
09/10/2022,September,34,28,31,"1,150.92"
09/11/2022,September,33,28,30.5,"1,092.31"
09/12/2022,September,30,26,28,647.65
09/13/2022,September,28,26,27,324.41
09/14/2022,September,28,26,27,364.75
09/15/2022,September,33,26,29.5,"1,114.47"
09/16/2022,September,33,29,31,"1,108.45"
09/17/2022,September,33,28,30.5,"1,112.86"
09/18/2022,September,31,27,29,666.56
09/19/2022,September,33,27,30,"1,181.81"
09/20/2022,September,33,27,30,"1,321.06"
09/21/2022,September,34,29,31.5,"1,195.28"
09/22/2022,September,34,28,31,"1,212.86"
09/23/2022,September,32,28,30,"1,097.59"
09/24/2022,September,32,28,30,"1,039.47"
09/25/2022,September,32,27,29.5,582.88
09/26/2022,September,33,28,30.5,677.74
09/27/2022,September,33,28,30.5,669.12
09/28/2022,September,32,27,29.5,575.02
09/29/2022,September,31,28,29.5,545.04
09/30/2022,September,34,28,31,"1,122.48"
10/01/2022,October,33,29,31,992.48
10/02/2022,October,31,25,28,780.99
10/03/2022,October,30,26,28,553.76
10/04/2022,October,33,26,29.5,"1,380.70"
10/05/2022,October,33,27,30,"1,301.04"
10/06/2022,October,34,27,30.5,"1,046.92"
10/07/2022,October,33,27,30,829.07
10/08/2022,October,34,27,30.5,"1,328.86"
10/09/2022,October,32,28,30,"1,463.94"
10/10/2022,October,34,28,31,"1,411.88"
10/11/2022,October,34,28,31,"1,416.87"
10/12/2022,October,30,27,28.5,757.68
10/13/2022,October,32,26,29,"1,130.69"
10/14/2022,October,33,27,30,"1,133.87"
10/15/2022,October,33,27,30,"1,548.16"
10/16/2022,October,34,27,30.5,"1,505.69"
10/17/2022,October,34,27,30.5,"1,377.97"
10/18/2022,October,33,27,30,804.23
10/19/2022,October,33,27,30,"2,182.20"
10/20/2022,October,33,27,30,"1,377.97"
10/21/2022,October,33,28,30.5,804.23
10/22/2022,October,34,27,30.5,706.82
10/23/2022,October,34,27,30.5,395.36
10/24/2022,October,28,21,24.5,51.59
10/25/2022,October,29,21,25,881.96
10/26/2022,October,32,26,29,"1,337.61"
10/27/2022,October,32,25,28.5,"1,197.23"
10/28/2022,October,30,25,27.5,"1,389.81"
10/29/2022,October,31,25,28,"1,149.73"
10/30/2022,October,31,20,25.5,593.36
10/31/2022,October,32,25,28.5,219.24
11/01/2022,November,32,26,29,848.13
11/02/2022,November,32,26,29,"1,005.37"
11/03/2022,November,30,25,27.5,721.87
11/04/2022,November,30,23,26.5,963.14
11/05/2022,November,31,23,27,"1,225.31"
11/06/2022,November,31,25,28,"1,187.97"
11/07/2022,November,31,24,27.5,"1,288.69"
11/08/2022,November,30,24,27,929.44
11/09/2022,November,31,24,27.5,"1,362.34"
11/10/2022,November,31,24,27.5,"1,121.69"
11/11/2022,November,31,24,27.5,"1,080.30"
11/12/2022,November,29,24,26.5,"1,302.29"
11/13/2022,November,28,24,26,"1,156.21"
11/14/2022,November,31,22,26.5,"1,254.46"
11/15/2022,November,31,21,26,965.4
11/16/2022,November,31,22,26.5,"1,182.13"
11/17/2022,November,30,22,26,"1,217.54"
11/18/2022,November,29,23,26,"1,154.71"
11/19/2022,November,29,21,25,"1,103.79"
11/20/2022,November,30,21,25.5,"1,044.93"
11/21/2022,November,30,22,26,"1,258.29"
11/22/2022,November,29,22,25.5,"1,076.15"
11/23/2022,November,29,21,25,"1,211.43"
11/24/2022,November,28,20,24,"1,130.02"
11/25/2022,November,30,22,26,"1,190.89"
11/26/2022,November,30,21,25.5,"1,197.45"
11/27/2022,November,29,22,25.5,"1,169.47"
11/28/2022,November,28,23,25.5,990.1
11/29/2022,November,28,22,25,692.79
11/30/2022,November,31,24,27.5,929.64
12/01/2022,December,30,22,26,"1,124.57"
12/02/2022,December,29,22,25.5,"1,138.62"
12/03/2022,December,28,22,25,"1,134.41"
12/04/2022,December,28,20,24,"1,095.91"
12/05/2022,December,28,19,23.5,"1,047.07"
12/06/2022,December,28,20,24,"1,042.00"
12/07/2022,December,27,19,23,"1,042.63"
12/08/2022,December,28,20,24,968.77
12/09/2022,December,28,19,23.5,"1,004.70"
12/10/2022,December,28,18,23,952.75
12/11/2022,December,29,19,24,"1,037.99"
12/12/2022,December,27,19,23,906.5
12/13/2022,December,27,19,23,712.05
12/14/2022,December,27,18,22.5,643.96
12/15/2022,December,27,19,23,630.66
12/16/2022,December,26,18,22,669.09
12/17/2022,December,26,19,22.5,832.28
12/18/2022,December,27,18,22.5,790.64
12/19/2022,December,27,17,22,911.27
12/20/2022,December,28,18,23,744.19
12/21/2022,December,28,18,23,819.87
12/22/2022,December,26,20,23,664.79
12/23/2022,December,27,19,23,895.37
12/24/2022,December,28,18,23,880.96
12/25/2022,December,28,17,22.5,811.54
12/26/2022,December,28,18,23,592.54
12/27/2022,December,25,19,22,498.11
12/28/2022,December,25,19,22,766.47
12/29/2022,December,25,17,21,836.64
12/30/2022,December,24,16,20,595.63
12/31/2022,December,23,15,19,708.08
